User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,108.4630074,Station_391,Houston,01/01/2024 0:00,01/01/2024 0:39,60.71234573,0.591363425,36.38918057,13.08771679,Evening,Tuesday,29.37157598,86.11996244,293.6021106,27.94795306,2,DC Fast Charger,Commuter
User_2,Hyundai Kona,100,Station_428,San Francisco,01/01/2024 1:00,01/01/2024 3:01,12.3392752,3.133652053,30.67773494,21.12844793,Morning,Monday,10.11577764,84.66434363,112.1128037,14.31102566,3,Level 1,Casual Driver
User_3,Chevy Bolt,75,Station_181,San Francisco,01/01/2024 2:00,01/01/2024 4:48,19.1288757,2.452652726,27.51359256,35.66727042,Morning,Thursday,6.854604444,69.91761524,71.79925293,21.00200184,2,Level 2,Commuter
User_4,Hyundai Kona,50,Station_327,Houston,01/01/2024 3:00,01/01/2024 6:42,79.45782399,1.266430805,32.88286976,13.03623883,Evening,Saturday,83.12000296,99.62432763,199.5777845,38.31631316,1,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50,Station_108,Los Angeles,01/01/2024 4:00,01/01/2024 5:46,19.62910417,2.019765087,10.21571207,10.16147117,Morning,Saturday,54.25894969,63.74378604,203.6618466,-7.834199027,1,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50,Station_335,San Francisco,01/01/2024 5:00,01/01/2024 7:10,43.18113714,1.167640154,14.33452278,36.90034078,Evening,Saturday,75.21774834,71.98228757,143.6800461,-5.274217797,0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85,Station_162,Houston,01/01/2024 6:00,01/01/2024 7:53,36.86213999,3.539619026,26.18518786,22.21422518,Evening,Friday,60.75178076,70.7960969,81.33800891,27.55133468,4,Level 2,Commuter
User_8,Chevy Bolt,75,Station_302,Los Angeles,01/01/2024 7:00,01/01/2024 10:42,51.46761686,2.655396446,26.70290777,9.796821321,Afternoon,Monday,56.20170303,63.78681533,116.5431658,-4.417459666,0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62,Station_493,Los Angeles,01/01/2024 8:00,01/01/2024 9:21,43.59237228,1.724203599,14.29492293,32.46500507,Evening,Wednesday,33.46620026,92.9614209,208.2597425,22.51670643,4,Level 1,Commuter
User_10,Hyundai Kona,50,Station_452,Chicago,01/01/2024 9:00,01/01/2024 12:44,78.86860745,2.026874691,11.76099972,21.31230245,Morning,Wednesday,27.39945463,70.05338138,54.0063092,27.51201936,2.830381307,DC Fast Charger,Commuter
User_11,BMW i3,50,Station_206,Los Angeles,01/01/2024 10:00,01/01/2024 13:59,18.20619748,2.648635448,10.31070111,38.2212307,Night,Thursday,76.08656557,82.26558163,64.63464375,0.500433564,3,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,85,Station_78,San Francisco,01/01/2024 11:00,01/01/2024 14:55,22.56492948,2.057888622,4.464822629,14.05086135,Evening,Sunday,14.61890237,85.85749415,194.7638067,34.26261127,0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,100,Station_16,San Francisco,01/01/2024 12:00,01/01/2024 13:00,34.25645291,3.065584752,5.523688619,10.972136,Afternoon,Monday,19.20544695,51.62648273,249.1275965,23.66296536,0,Level 2,Casual Driver
User_14,Nissan Leaf,75,Station_327,Houston,01/01/2024 13:00,01/01/2024 15:54,16.56106433,3.590965718,19.76909872,37.4418566,Morning,Friday,25.77541539,69.2012291,159.2316102,34.11034864,7,Level 2,Commuter
User_15,BMW i3,85,Station_96,Houston,01/01/2024 14:00,01/01/2024 17:32,12.92754529,3.421809338,24.21115012,18.55281568,Afternoon,Monday,71.68354384,63.70663794,155.3606054,39.50544569,4,Level 1,Casual Driver
User_16,Nissan Leaf,100,Station_147,Los Angeles,01/01/2024 15:00,01/01/2024 17:19,27.35431788,2.703286128,11.11249884,33.09349271,Evening,Monday,10.67715373,72.40347015,247.6594369,-8.302136899,1.535234088,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,97.68181223,Station_2,New York,01/01/2024 16:00,01/01/2024 18:02,24.72693768,3.458680279,49.40273862,17.49480846,Evening,Thursday,67.59197091,89.94222936,237.3064209,4.415329619,7,DC Fast Charger,Commuter
User_18,Hyundai Kona,50,Station_10,Chicago,01/01/2024 17:00,01/01/2024 20:13,23.82404047,0.848218268,6.614280125,6.430589212,Evening,Friday,57.59519512,74.96195035,22.00682916,18.40570905,6,Level 2,Casual Driver
User_19,Tesla Model 3,100,Station_434,New York,01/01/2024 18:00,01/01/2024 21:03,42.63801819,0.807532158,20.49084605,25.07879371,Evening,Saturday,55.51705087,52.71348869,280.862071,37.43035653,0,Level 1,Long-Distance Traveler
User_20,BMW i3,50,Station_125,Los Angeles,01/01/2024 19:00,01/01/2024 20:22,48.48248431,2.580925354,45.29143535,7.090844201,Morning,Wednesday,12.75487757,116.0956569,243.2557695,9.202409892,3,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,50,Station_81,Los Angeles,01/01/2024 20:00,01/01/2024 22:54,50.27906667,3.168872892,30.48996023,28.87289461,Night,Tuesday,16.54551237,77.93632714,15.4204446,33.9803101,3,Level 2,Casual Driver
User_22,Hyundai Kona,62,Station_485,New York,01/01/2024 21:00,01/01/2024 22:55,59.13503162,2.931761495,,34.8532344,Evening,Sunday,71.53031213,75.97435159,219.6263569,-2.755069332,5,Level 1,Commuter
User_23,BMW i3,75,Station_140,Chicago,01/01/2024 22:00,02/01/2024 1:02,49.19642959,2.562817304,19.19488284,14.85613122,Afternoon,Saturday,49.02423911,64.48187394,298.1881223,39.95893732,4.257936703,DC Fast Charger,Long-Distance Traveler
User_24,Tesla Model 3,100,Station_326,New York,01/01/2024 23:00,01/01/2024 23:31,68.44712632,2.071429209,49.71030697,38.4060617,Morning,Friday,19.23313913,74.00615088,280.9154682,3.580839954,5,DC Fast Charger,Commuter
User_25,Tesla Model 3,100,Station_150,Houston,02/01/2024 0:00,02/01/2024 1:55,27.60438468,0.95713766,11.23853863,24.03753469,Morning,Wednesday,65.48688658,65.35209627,173.4715265,35.97782192,4,Level 1,Long-Distance Traveler
User_26,Chevy Bolt,75,Station_288,San Francisco,02/01/2024 1:00,02/01/2024 3:42,40.1780035,3.604173535,12.3186148,38.76319383,Morning,Saturday,80.34408373,79.99556313,82.75461394,21.53684397,1,DC Fast Charger,Commuter
User_27,Chevy Bolt,75,Station_361,Houston,02/01/2024 2:00,02/01/2024 2:33,43.48775122,3.652540335,36.18237188,27.44831088,Afternoon,Thursday,88.74847907,87.824029,80.91266512,29.87220987,0.361215166,Level 1,Commuter
User_28,Nissan Leaf,50,Station_340,San Francisco,02/01/2024 3:00,02/01/2024 6:13,10.33851772,1.547713718,45.77673119,9.855826893,Night,Sunday,98.33279531,94.50485177,162.6865444,5.504758728,0,Level 1,Long-Distance Traveler
User_29,BMW i3,75,Station_129,Los Angeles,02/01/2024 4:00,02/01/2024 4:35,31.68448459,2.439677938,48.64872319,25.617104,Afternoon,Friday,34.7276391,54.40205039,,20.37856231,3,Level 2,Casual Driver
User_30,BMW i3,75,Station_438,Chicago,02/01/2024 5:00,02/01/2024 7:58,56.59325686,3.153257255,45.811731,33.13209178,Afternoon,Friday,29.2076717,85.00810624,186.1557321,12.33341537,0,DC Fast Charger,Casual Driver
User_31,Chevy Bolt,100,Station_239,New York,02/01/2024 6:00,02/01/2024 9:54,19.4738006,1.435532787,7.043936342,36.94527292,Afternoon,Wednesday,31.32078698,78.05665282,,8.352906077,2,DC Fast Charger,Casual Driver
User_32,BMW i3,100,Station_58,Chicago,02/01/2024 7:00,02/01/2024 9:27,38.28919934,2.007664054,12.06439146,17.01178295,Evening,Wednesday,75.64477848,65.61730719,238.909311,2.273162901,6,Level 1,Commuter
User_33,BMW i3,100,Station_198,New York,02/01/2024 8:00,02/01/2024 9:58,16.13623873,1.306927272,21.51781505,26.43819424,Evening,Monday,23.60399143,88.2000728,35.50388319,39.38401392,1,Level 2,Casual Driver
User_34,Tesla Model 3,62,Station_211,Houston,02/01/2024 9:00,02/01/2024 12:03,60.06708509,0.999100188,7.651570047,18.03439004,Afternoon,Monday,22.88146663,51.43427868,46.35755886,13.99159748,1,Level 2,Casual Driver
User_35,Chevy Bolt,75,Station_402,Houston,02/01/2024 10:00,02/01/2024 13:32,57.72437946,1.873581597,4.485647105,35.50300017,Afternoon,Friday,41.87247964,79.64797277,157.614654,28.42980738,1.809172868,DC Fast Charger,Long-Distance Traveler
User_36,Hyundai Kona,75,Station_390,New York,02/01/2024 11:00,02/01/2024 14:16,37.37451606,2.891676984,18.86580196,29.86624993,Evening,Tuesday,24.49220858,73.38017573,76.20353922,59.93197387,4,Level 1,Commuter
User_37,Chevy Bolt,75,Station_45,Chicago,02/01/2024 12:00,02/01/2024 15:10,39.94056362,3.470003434,28.62519933,15.85532743,Evening,Thursday,85.8575558,50.40365474,102.4303022,31.46130902,1,DC Fast Charger,Casual Driver
User_38,Hyundai Kona,75,Station_97,New York,02/01/2024 13:00,02/01/2024 13:43,73.38661952,1.040452305,38.4508319,15.88270398,Night,Wednesday,49.27538753,94.5970819,42.09574394,33.92957037,6,DC Fast Charger,Long-Distance Traveler
User_39,Tesla Model 3,85,Station_279,Los Angeles,02/01/2024 14:00,02/01/2024 15:25,61.52075986,1.280410708,12.51024896,26.50571298,Afternoon,Monday,87.98462138,79.38844338,141.2437535,5.761050674,7,Level 2,Commuter
User_40,Nissan Leaf,100,Station_23,Houston,02/01/2024 15:00,02/01/2024 16:50,68.17785004,3.242446058,23.31161908,8.498571937,Morning,Thursday,17.04042002,56.07865101,130.3760138,-3.191455366,2,Level 2,Long-Distance Traveler
User_41,BMW i3,79.79920376,Station_410,Los Angeles,02/01/2024 16:00,02/01/2024 18:58,67.51805822,1.96234054,6.89787833,29.22236195,Night,Sunday,80.86258863,62.52531777,119.6309923,35.23315849,1.969232722,Level 2,Casual Driver
User_42,Tesla Model 3,100,Station_461,Houston,02/01/2024 17:00,02/01/2024 18:15,39.39874236,2.397715361,20.46036487,26.61971775,Morning,Saturday,28.25229826,96.28709224,111.0165395,19.78108389,2.941663235,Level 2,Commuter
User_43,BMW i3,85,Station_391,Houston,02/01/2024 18:00,02/01/2024 20:53,12.04931971,1.373881358,29.46894436,32.0420986,Night,Saturday,36.63685216,66.97610432,83.24522143,39.41613092,4,Level 1,Commuter
User_44,Nissan Leaf,48.79648264,Station_335,San Francisco,02/01/2024 19:00,02/01/2024 19:45,77.05360638,3.030202685,8.388039538,6.364629694,Afternoon,Friday,15.14412247,84.34232687,144.0139812,22.0694708,1,DC Fast Charger,Casual Driver
